Epoch,Generator_Loss,Discriminator_Loss
0,0.6711890697479248,1.3921117782592773
1,0.6728637218475342,1.3927388191223145
2,0.6755765080451965,1.3923006057739258
3,0.6787438988685608,1.3912467956542969
4,0.6818766593933105,1.3902044296264648
5,0.6851761937141418,1.3889814615249634
6,0.6882041096687317,1.388183355331421
7,0.6913487911224365,1.3874592781066895
8,0.6947365999221802,1.3866212368011475
9,0.6982989311218262,1.3859219551086426
10,0.7020994424819946,1.3850377798080444
11,0.7058453559875488,1.3843576908111572
12,0.7096028923988342,1.3836406469345093
13,0.7136467695236206,1.3829376697540283
14,0.7174718976020813,1.3825407028198242
15,0.7215304970741272,1.381993055343628
16,0.7259212136268616,1.3812919855117798
17,0.7304085493087769,1.3804265260696411
18,0.7346800565719604,1.3800194263458252
19,0.7391239404678345,1.3792932033538818
20,0.7433838844299316,1.3789006471633911
21,0.7476517558097839,1.378383755683899
22,0.7520185112953186,1.3779065608978271
23,0.7562119960784912,1.3776400089263916
24,0.7606936097145081,1.376960277557373
25,0.7645423412322998,1.3767662048339844
26,0.7682328820228577,1.3764643669128418
27,0.7712493538856506,1.3767588138580322
28,0.7742924690246582,1.376861572265625
29,0.7775821089744568,1.3768113851547241
30,0.7807700037956238,1.3763771057128906
31,0.7834613919258118,1.3761348724365234
32,0.7857167720794678,1.3760921955108643
33,0.7874943614006042,1.3763421773910522
34,0.7887576222419739,1.3769164085388184
35,0.790655791759491,1.3767191171646118
36,0.7919501662254333,1.3767249584197998
37,0.7930545806884766,1.3766448497772217
38,0.794061541557312,1.3765428066253662
39,0.7947376370429993,1.3764958381652832
40,0.7953580021858215,1.3763689994812012
41,0.7956942319869995,1.3763854503631592
42,0.7960580587387085,1.3763113021850586
43,0.7964416146278381,1.376126766204834
44,0.7969000339508057,1.3760032653808594
45,0.7972303032875061,1.3760907649993896
46,0.7976559400558472,1.376101016998291
47,0.7979947924613953,1.3761873245239258
48,0.7980554699897766,1.3761634826660156
49,0.7982731461524963,1.3760124444961548
50,0.7982566952705383,1.375882863998413
51,0.7982787489891052,1.375953197479248
52,0.798372745513916,1.3759334087371826
53,0.7985991835594177,1.3758889436721802
54,0.7988561391830444,1.3761613368988037
55,0.7990160584449768,1.3760673999786377
56,0.7989829182624817,1.3762415647506714
57,0.7988271713256836,1.3760793209075928
58,0.7986190319061279,1.3761260509490967
59,0.798457145690918,1.376180648803711
60,0.7984622716903687,1.3761460781097412
61,0.7984256148338318,1.3761215209960938
62,0.7981718182563782,1.3761427402496338
63,0.7981764078140259,1.3762009143829346
64,0.798134446144104,1.3761742115020752
65,0.7984862327575684,1.376311182975769
